Title,Main Price,Current Price,Store
"Sony OLED TV 55A8 55"" 4Κ Ultra HD",2249.0,1799.0,PLAISIO
"Sony LED TV 75XH9096 75"" 4Κ Ultra HD",2599.0,1949.0,PLAISIO
"Sony OLED TV 65A8 65"" 4Κ Ultra HD",3279.0,2629.0,PLAISIO
"LG NanoCell TV 75NANO996 75"" 8K Ultra HD",5899.0,4719.0,PLAISIO
"LG NanoCell TV 65NANO956 65"" 8K Ultra HD",3199.0,2559.0,PLAISIO
"LG OLED TV 77W9 77"" 4Κ Ultra HD",1399.0,11999.0,PLAISIO
"LG LED TV 75UM7600 75"" 4Κ Ultra HD",2599.0,1599.0,PLAISIO
"Samsung QLED TV QE 85Q950T 85"" 8K Ultra HD",1319.0,9999.0,PLAISIO
"Samsung QLED TV QE 85Q95T 85"" 4Κ Ultra HD",6599.0,5599.0,PLAISIO
"Sony LED TV KD55XH8096 55"" 4Κ Ultra HD",999.0,999.0,PLAISIO
"Samsung LED TV UE75TU8072 75"" 4Κ Ultra HD",1699.0,1509.0,PLAISIO
"Samsung QLED TV QE 82Q800T 82"" 8K Ultra HD",7699.0,5769.0,PLAISIO
"Samsung QLED TV The Frame 75"" 4Κ Ultra HD",3799.0,3039.0,PLAISIO
"Samsung QLED TV QE 85Q70T 85"" 4Κ Ultra HD",3999.0,3299.0,PLAISIO
"Samsung QLED TV QE 85Q80T 85"" 4Κ Ultra HD",5499.0,4399.0,PLAISIO
"Sony LED TV KD49XH8096 49"" 4Κ Ultra HD",919.0,769.0,PLAISIO
"Sony Full Array TV KD75XH9505 75"" 4Κ Ultra HD",3599.0,3599.0,PLAISIO
"LG NanoCell TV 86NANO916 86"" 4Κ Ultra HD",4599.0,3679.0,PLAISIO
"LG NanoCell TV 65NANO996 65"" 8K Ultra HD",4699.0,3759.0,PLAISIO
"LG OLED TV OLED77ZX9 77"" 8K Ultra HD",2349.0,18799.0,PLAISIO
"LG OLED TV OLED77GX6 77"" 4Κ Ultra HD",7499.0,5999.0,PLAISIO
